Segunda-feira;“A vida é como andar de bicicleta. Para manter o equilíbrio, você deve continuar se movendo.” — Albert Einstein
Segunda-feira;“Você nunca sabe que resultados virão da sua ação. Mas se você não fizer nada, não existirão resultados.” — Mahatma Gandhi
Segunda-feira;“Acredite que você pode, assim você já está no meio do caminho.” — Theodore Roosevelt
Segunda-feira;“O sucesso é a soma de pequenos esforços repetidos dia após dia.” — Robert Collier
Segunda-feira;“Comece onde você está. Use o que você tem. Faça o que você pode.” — Arthur Ashe
Segunda-feira;“A única maneira de fazer um excelente trabalho é amar o que você faz.” — Steve Jobs
Segunda-feira;“Não espere por oportunidades, crie-as.” — George Bernard Shaw
Segunda-feira;“A disciplina é a ponte entre metas e realizações.” — Jim Rohn
Segunda-feira;“Se você quer algo que nunca teve, precisa fazer algo que nunca fez.” — Thomas Jefferson
Segunda-feira;“Tudo parece impossível até que seja feito.” — Nelson Mandela
Segunda-feira;“A coragem não é a ausência do medo, mas a decisão de que algo é mais importante que ele.” — Ambrose Redmoon
Segunda-feira;“A persistência realiza o impossível.” — Provérbio chinês
Segunda-feira;“Grandes realizações exigem tempo.” — Maya Angelou
Segunda-feira;“O futuro depende do que você faz hoje.” — Mahatma Gandhi
Segunda-feira;“A melhor maneira de prever o futuro é criá-lo.” — Peter Drucker
Segunda-feira;“A motivação é o que te faz começar. O hábito é o que te mantém.” — Jim Ryun
Segunda-feira;“Seja a mudança que você quer ver no mundo.” — Mahatma Gandhi
Segunda-feira;“Nunca é tarde para ser aquilo que você poderia ter sido.” — George Eliot
Segunda-feira;“O sucesso não é final, o fracasso não é fatal.” — Winston Churchill
Segunda-feira;“Você é mais forte do que imagina.” — Desconhecido
Terça-feira;“Eu tenho um sonho.” — Martin Luther King Jr.
Terça-feira;“A educação é a arma mais poderosa que você pode usar para mudar o mundo.” — Nelson Mandela
Terça-feira;“Não julgue cada dia pela colheita que você obtém, mas pelas sementes que planta.” — Robert Louis Stevenson
Terça-feira;“A vida é 10% o que acontece com você e 90% como você reage.” — Charles Swindoll
Terça-feira;“Faça o que puder, com o que tiver, onde estiver.” — Theodore Roosevelt
Terça-feira;“O segredo para progredir é começar.” — Mark Twain
Terça-feira;“A mente que se abre a uma nova ideia jamais volta ao seu tamanho original.” — Albert Einstein
Terça-feira;“A esperança é um sonho acordado.” — Aristóteles
Terça-feira;“A ação é a chave fundamental para todo sucesso.” — Pablo Picasso
Terça-feira;“A felicidade depende de nós mesmos.” — Aristóteles
Terça-feira;“O único limite para nossas realizações é a dúvida.” — Franklin D. Roosevelt
Terça-feira;“O conhecimento fala, mas a sabedoria escuta.” — Jimi Hendrix
Terça-feira;“A persistência é o caminho do êxito.” — Charles Chaplin
Terça-feira;“Nunca desista de um sonho por causa do tempo.” — Earl Nightingale
Terça-feira;“A vida começa onde sua zona de conforto termina.” — Neale Donald Walsch
